V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q13,Q3,Q12,Q4,Q10,Q6_1,Q6_2,Q6_3,Q6_3_TEXT,Q6_4,Q5_1,Q5_2,Q5_3,Q5_3_TEXT,Q5_5,Q5_8,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1diB3ottNXu7wDY,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 21:07:51,2016-07-12 21:12:10,1,1,61,3,5,2,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_R38BeHPvfj2hNxn,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 21:28:13,2016-07-12 21:29:07,1,1,67,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_28B6wIFsSnlMQx9,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 21:29:09,2016-07-12 21:33:21,1,1,70,3,1,2,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_23TuQw4stu5xSfC,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 21:33:22,2016-07-12 21:35:12,1,1,71,3,5,1,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_QmHVf0MUlPay9nH,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 21:35:13,2016-07-12 21:36:46,1,1,73,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_2QJJrEv84ce2nBN,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 21:40:36,2016-07-12 21:43:28,1,1,76,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_pPBPXqrCjB7muRz,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 21:43:30,2016-07-12 21:45:57,1,1,77,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_10PkeLegLRNRzCg,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 21:50:14,2016-07-12 21:57:53,1,1,83,3,1,2,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_1opz0WBPm81a1ud,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-12 21:59:39,2016-07-12 22:00:18,1,1,86,3,5,5,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3hEClH6qS9zQVxy,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 13:29:40,2016-07-13 13:33:03,1,1,89,3,1,2,1,,,,1,A total of 97 participants participated in this study. Their / characteristics are presented in Table 1. No significant / differences in characteristics were found between groups.,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_1cUsod2aTBQL3rI,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 13:35:28,2016-07-13 13:40:37,1,1,92,3,1,3,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3Pi2BpHFE8dSCGJ,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 13:40:38,2016-07-13 13:42:41,1,1,93,3,1,1,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_300qMDTwb3T1FRC,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 13:42:42,2016-07-13 13:44:52,1,1,95,3,1,3,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_1C8ipNmWy93dEmi,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 13:48:01,2016-07-13 13:50:06,1,1,98,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_2YmM4MGHcwkc2xz,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 13:50:07,2016-07-13 13:51:45,1,1,99,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3kENhVSEm2Xusz2,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 13:51:46,2016-07-13 13:52:59,1,1,102,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_9F7xjPC5WYb8Uet,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 13:52:59,2016-07-13 13:55:55,1,1,103,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_6ArWMlPvpjSxDRD,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 13:55:55,2016-07-13 13:59:02,1,1,105,3,1,2,1,"Another whack study. Participants already enrolled in an RCT were asked to participate in another RCT, the latter of which this study reported.",,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_vqzu3iJ4NBKtQ3L,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 13:59:04,2016-07-13 14:04:01,1,1,106,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_28BOImiDNiVxD3r,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 14:04:02,2016-07-13 14:05:47,1,1,108,3,1,1,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_8pEEmlkbZLTiOfD,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 14:09:26,2016-07-13 14:11:19,1,1,111,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_XpnBTSttfysvrgZ,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 14:14:27,2016-07-13 14:15:22,1,1,114,3,1,3,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_2aEaIPRRwE8S3gA,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 14:15:23,2016-07-13 14:16:55,1,1,116,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_pLsYv3LpxscFrxL,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 14:16:56,2016-07-13 14:18:45,1,1,117,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_s5X9BDyhih1XYKB,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 14:20:29,2016-07-13 14:22:10,1,1,119,3,1,1,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_VKHC8YB16C1tfjj,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 14:30:43,2016-07-13 14:33:48,1,1,121,3,1,6,1,"Didn't strike me as an RCT but they mention that ""Sample size was calculated based on the difference in the operative time between the experimental and control groups."" ",,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_2qx8T2Y8jhKOIPj,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 14:33:49,2016-07-13 14:36:54,1,1,122,3,1,2,1,,,,1,Baseline demographics and OR data were not significant different (Table 2).,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_Clxrwe47XAYlYv7,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 15:04:10,2016-07-13 15:06:17,1,1,123,3,5,2,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_110nvQ1EoscMlog,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 15:06:19,2016-07-13 15:08:46,1,1,124,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_1lofJrX3fNBD2Qc,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 15:08:47,2016-07-13 15:11:13,1,1,125,3,3,5,2,No baseline covariate info found.,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_tYsyeGtCBkLfRSN,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 15:14:38,2016-07-13 15:15:47,1,1,128,3,1,1,1,Interpreted sedentary to mean control.,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3mjBvhPKuvBKzA7,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 15:20:34,2016-07-13 15:21:59,1,1,131,3,1,2,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_1dfOANE4qAbnien,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 15:22:00,2016-07-13 15:22:30,1,1,133,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_SUzYaMb7lrj2Mxj,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 15:28:59,2016-07-13 15:34:10,1,1,136,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_sTiY5YkmKQIs5GN,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 15:42:31,2016-07-13 15:45:20,1,1,139,3,5,1,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_yyUWEhKs7tKBLbj,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 15:48:19,2016-07-13 15:49:39,1,1,143,3,1,1,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3hbG4bGNJkKpjSY,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 15:49:40,2016-07-13 15:53:21,1,1,144,3,1,7,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_2qsb1UCAKhukBNk,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 15:56:43,2016-07-13 15:59:00,1,1,147,3,1,1,1,"Under table 3, ""†Significant difference for preintervention values between groups (P  0.05).""",,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_yOyhPbD8gksWDKx,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 16:01:33,2016-07-13 16:03:06,1,1,150,3,1,1,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3iVAnDIp0Aiddzj,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 16:04:27,2016-07-13 16:05:28,1,1,151,3,1,1,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3p9BhzzTkQT2km9,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 16:05:29,2016-07-13 16:07:48,1,1,153,3,1,3,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_26mMUphV2wBoA3H,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 16:07:48,2016-07-13 16:10:33,1,1,155,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_byFctVPDc9IetWx,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 16:10:34,2016-07-13 16:15:22,1,1,157,3,1,2,1,See text I posted. Seemed to imply that significance testing was performed on baseline differences.,,,1,"Patients who underwent Wii Fit™ treatment showed an / improvement in pain at rest during the 6-week follow-up / (P = 0.045, Table 2). Moreover, patients in all three groups decreased their pain during walking (P ≤ 0.018) / at the 6 weeks follow-up. Between-group differences showed no difference in pain at baseline as well as at 6-week follow-up between the three groups (all P ≥ 0.292).",,,1,,,,,44.97590637207,-93.216598510742,-1,
R_3kpqbSCguQQPqTv,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 16:15:22,2016-07-13 16:18:11,1,1,159,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_eCCMCKAVjvP447v,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-13 16:20:11,2016-07-13 16:22:40,1,1,160,3,1,1,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3NPAUp2t4YdXwoo,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-12 20:38:27,2016-07-14 14:37:19,1,3,13,3,1,1,1,,,,1,"nor there was any significant difference between groups for the variables of the preoperative evaluation, as shown in Table 1 (p > 0.05 for all), evidencing homogeneity between groups before treatment.",,,1,,,,,44.804595947266,-93.137100219727,-1,
R_RP3MEnStg5o734B,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 14:37:21,2016-07-14 14:45:17,1,3,16,3,1,3,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_21grhV4B6Xl0OWf,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 14:45:19,2016-07-14 14:52:03,1,3,17,3,1,1,1,Author makes it seem that only time they used statistics to compare baseline differences was for chemotherapy timing between groups...unclear if for other baseline characteristics.  ,,,1,"Participants in the intervention and usual care groups were comparable for most characteristics except that partic- ipants in the intervention group were, on average, shorter and heavier (Table 1). At randomization, the majority of patients had started chemotherapy (81.8%). No significant difference in chemotherapy timing was observed between intervention and control groups.",,,1,,,,,44.804595947266,-93.137100219727,-1,
R_2rYm1LHGpcHfMo1,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 14:52:05,2016-07-14 14:53:01,1,3,18,3,1,3,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_1Q5U0VeFC8W7O6U,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 14:53:02,2016-07-14 14:54:29,1,3,19,3,1,1,1,,,,1,There was no signicant difference in age between the four test groups (n.s.).,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_2tDSEJjccfhEWas,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 14:54:30,2016-07-14 14:58:00,1,3,27,3,5,6,1,,,,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_1Cm3Hs11OXnkI2T,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 14:58:01,2016-07-14 14:59:37,1,3,28,3,1,2,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_tFGXLEXU3aEBFbH,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 14:59:38,2016-07-14 15:11:39,1,3,29,3,3,2,1,From what I understand...utilizing a t-test therefore suggests using statistics to determine if baseline characteristics are significant,,,1,"Baseline characteristics were assessed using an independent- samples t-test, chi-squared tests or Mann–Whitney U test.",,,1,,,,,44.804595947266,-93.137100219727,-1,
R_s4ZLTxdZqcUKOkx,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 15:11:40,2016-07-14 15:13:51,1,3,30,3,1,2,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_1IrTs1zvFLfPDa7,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 15:22:41,2016-07-14 15:25:47,1,3,33,3,1,1,2,"Both groups demonstrated similar characteristics at the begin- ning of the study, as there were no significant group mean differences for age (p = 0.286), mass (p = 0.298), and isometric peak torque for the leg extensors (p = 0.822) and flexors (p = 0.587). ",1,,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_3j361roAKzHpOfn,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 15:25:48,2016-07-14 15:27:46,1,3,37,3,1,2,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_2pWtgkAy4L6AXqa,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 15:42:31,2016-07-14 16:18:35,1,3,39,3,2,1,1,,,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_3MGSdy2OYDAteUf,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 16:18:37,2016-07-14 16:22:21,1,3,40,3,1,2,1,n.s. = p value present,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_2PmVuQZjNR6pZAl,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 16:22:22,2016-07-14 16:25:56,1,3,43,3,1,1,1,,,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_1PStCta8BAFvyQO,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 16:25:59,2016-07-14 16:28:09,1,3,44,3,1,1,1,,,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_2SoSlJqxohe1tTn,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 18:32:27,2016-07-14 18:35:27,1,3,47,3,1,3,1,"At baseline, the 2 groups were similar in terms of demographics  /  / no mention of statistics",,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_25LApLd5qbLinRC,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-14 18:51:31,2016-07-15 12:48:07,1,3,53,3,1,6,1,,,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_1ja2ueP0MFH5Onh,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-15 13:00:06,2016-07-15 13:03:20,1,3,60,3,1,1,1,,,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_2sZUlcE98D5FnVi,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-15 13:35:48,2016-07-15 13:37:29,1,3,67,3,1,2,1,n.s. in baseline table,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_pAgepSIXhFo5eBH,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-15 13:37:30,2016-07-15 13:44:21,1,3,70,3,1,2,1,"seemed like they adjusted for baseline differences but no mention of significant differences or p values /  / ""Differences in means were analyzed using an AN- COVA adjusted for age, sex, and bilateral symptoms at baseline."" ",,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_3ebnFKmvswGLssc,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-15 13:44:22,2016-07-15 13:45:59,1,3,71,3,5,1,1,,,,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_abECvXXtUmFBMqt,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-15 13:46:00,2016-07-15 13:47:45,1,3,73,3,5,,2,,,,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_1HdzjDOqjvkuB4f,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-15 14:03:43,2016-07-15 14:06:07,1,3,76,3,1,2,1,Header: superscript / bStatistically significant (P = .002).,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_3G363x0OJxFPJAC,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-15 14:06:08,2016-07-15 15:12:33,1,3,77,3,1,1,1,,,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
